cluster,lat,lon
K2,37.7874029264,-122.417715187
K2,37.7605901173,-122.418290757
K3,37.7875967082,-122.417719688
K3,37.7615498505,-122.415654749
K3,37.7451881512,-122.478316578
K4,37.7616755145,-122.415620848
K4,37.7875995433,-122.417717942
K4,37.7584217885,-122.486423146
K4,37.7196169881,-122.457302222
K5,37.7876448377,-122.418732681
K5,37.7614632154,-122.415835856
K5,37.7584217885,-122.486423146
K5,37.7196169881,-122.457302222
K5,37.7851164227,-122.405226403
K6,37.7617267589,-122.415989136
K6,37.7876448377,-122.418732681
K6,37.727736723,-122.40404379
K6,37.7585163933,-122.486474743
K6,37.7851164227,-122.405226403
K6,37.7204977751,-122.462125396
