PdDistrict,Prostitution,Theft,Total,Year
Bayview,11,2121,15736,2003
Central,70,1193,13622,2003
Ingleside,5,2319,14005,2003
Mission,713,2063,21162,2003
Northern,579,1879,18962,2003
Park,2,1207,8219,2003
Richmond,15,1079,7690,2003
Southern,18,1426,25684,2003
Taraval,10,1665,11328,2003
Tenderloin,527,371,12737,2003
Bayview,6,981,14353,2015
Central,44,549,18368,2015
Ingleside,4,1366,13133,2015
Mission,66,1195,18312,2015
Northern,42,942,19804,2015
Park,1,639,9221,2015
Richmond,9,561,8970,2015
Southern,96,793,29709,2015
Taraval,78,786,11752,2015
Tenderloin,23,112,10584,2015
