RATING_YELP,AVGSCORE
4.5,19.3333333333
3.5,9.66666666667
2.5,5.66666666667
3.5,17.8260869565
3.5,8.11111111111
3.5,17.7916666667
3.5,6.25
2.5,14.5333333333
4.0,25.8913043478
4.0,15.5555555556
4.0,13.625
3.5,14.6470588235
3.5,7.66666666667
2.0,13.8095238095
3.0,19.9047619048
4.0,10.8333333333
3.0,15.2777777778
3.5,28.5666666667
2.0,12.25
3.5,16.0714285714
4.0,19.625
3.0,23.2941176471
3.5,15.125
4.0,16.04
4.0,18.1153846154
3.5,21.6206896552
4.0,8.3
3.5,22.652173913
4.0,15.3684210526
3.5,9.1
3.0,8.5
3.0,11.7272727273
4.0,19.1666666667
3.5,10.9
3.0,15.0
3.0,9.66666666667
3.5,17.6470588235
3.5,21.3157894737
3.5,24.0
4.0,11.9
4.0,25.8333333333
3.0,16.2692307692
3.5,18.0714285714
3.0,16.0833333333
3.5,18.1
3.0,35.8095238095
4.0,6.2
3.5,12.9333333333
3.5,12.0769230769
3.0,16.7857142857
3.5,27.7407407407
2.5,10.3333333333
3.5,18.1333333333
4.0,15.8888888889
3.5,17.0526315789
3.5,14.6
3.5,14.0666666667
4.0,5.85714285714
3.0,8.6
4.5,11.0
4.0,20.2592592593
3.0,19.0833333333
3.0,22.0666666667
4.0,17.0476190476
3.5,11.25
3.5,15.5263157895
4.0,15.9523809524
3.0,16.75
4.0,29.6585365854
2.0,16.0
3.0,15.3703703704
3.0,24.2857142857
3.5,25.0
3.0,19.5882352941
3.0,17.8285714286
4.0,18.56
3.0,17.1923076923
3.5,18.16
4.0,23.8409090909
4.0,12.4
2.5,12.5882352941
4.0,14.9090909091
3.0,21.7073170732
3.5,11.5454545455
3.5,16.4347826087
3.0,13.5
4.0,15.1875
4.0,15.0416666667
3.0,22.52
4.0,16.6666666667
3.0,27.2857142857
2.5,21.0625
4.0,13.5294117647
3.0,15.7222222222
4.0,14.7058823529
4.0,22.7307692308
4.5,17.6
4.0,18.9666666667
4.5,18.9411764706
4.0,22.46875
4.5,19.8846153846
3.5,17.08
4.0,26.3333333333
3.0,14.65
2.5,6.2
3.5,3.6
3.0,10.0
4.0,16.4615384615
3.5,20.4146341463
3.0,15.4615384615
3.5,26.5652173913
3.5,17.5714285714
4.5,18.9090909091
4.0,16.652173913
4.0,17.4210526316
2.5,10.5
3.5,23.5925925926
3.0,20.7333333333
4.0,13.8125
4.0,18.8888888889
3.5,23.2580645161
4.0,9.4
3.0,26.1666666667
3.5,13.5714285714
3.0,15.1470588235
4.0,17.05
3.5,10.5
3.0,11.7
3.0,20.1666666667
3.5,14.8823529412
3.5,8.83333333333
3.0,19.1764705882
4.0,19.4444444444
3.0,33.9375
3.5,13.8666666667
3.5,8.71428571429
4.0,26.3488372093
3.0,10.5454545455
2.0,17.9047619048
3.0,11.4444444444
3.5,11.4545454545
2.5,6.83333333333
3.0,8.28571428571
3.0,10.75
4.5,9.875
3.5,25.7222222222
3.5,13.8
3.5,10.9166666667
3.0,19.8181818182
4.0,28.5333333333
3.5,16.1666666667
1.5,20.8125
4.0,13.0
3.0,27.925
4.5,19.3870967742
4.5,8.66666666667
4.0,17.5714285714
4.5,18.25
3.5,21.2692307692
3.5,16.0
4.0,24.8620689655
3.5,19.8333333333
4.5,13.6956521739
4.0,21.9705882353
3.5,22.3076923077
2.5,13.6086956522
2.5,18.2258064516
3.5,11.3333333333
4.0,16.875
4.0,19.7419354839
2.5,32.4642857143
4.0,31.25
2.0,15.625
4.5,17.1481481481
3.0,11.0
3.0,23.25
3.5,11.6363636364
4.0,17.7037037037
2.5,22.4666666667
3.5,9.75
3.5,31.1351351351
3.0,14.3571428571
4.0,10.7692307692
4.0,14.5
4.0,14.1666666667
2.0,18.2608695652
4.5,13.0357142857
4.5,42.8775510204
3.5,20.5416666667
3.5,30.1111111111
4.0,11.125
3.5,22.1935483871
3.0,13.9583333333
2.5,24.4
4.0,15.9230769231
3.0,17.5217391304
4.0,30.1111111111
3.5,9.0
3.5,15.625
4.0,11.5
3.0,10.9285714286
3.5,19.5142857143
3.5,18.9473684211
3.5,15.0
4.0,22.6666666667
3.0,13.0
2.0,14.4285714286
3.5,17.8484848485
4.5,17.4411764706
4.0,13.6875
4.0,14.1875
2.5,19.935483871
2.5,12.3333333333
3.5,18.0227272727
3.5,15.44
4.5,11.3333333333
3.5,20.2608695652
2.0,10.6363636364
3.5,23.7906976744
4.0,13.9333333333
3.5,9.8
3.5,10.1428571429
4.0,21.1818181818
3.5,14.96
3.0,22.6071428571
3.5,17.4285714286
4.0,24.1
2.5,11.6923076923
4.5,15.8333333333
4.0,10.5384615385
4.0,17.1904761905
4.0,9.66666666667
4.0,19.0
4.0,16.5652173913
4.0,29.9122807018
3.5,36.55
4.0,16.2142857143
4.5,16.3
3.5,13.4444444444
4.0,17.6666666667
4.5,14.0
4.0,17.3103448276
3.5,16.6
3.0,19.2142857143
2.0,10.0
4.0,15.5294117647
3.5,9.3
3.5,41.703125
3.0,14.3448275862
3.0,20.1379310345
3.5,11.3076923077
3.5,26.1315789474
3.5,11.8
3.5,10.9230769231
3.5,18.1034482759
2.5,9.85714285714
3.5,26.7727272727
3.5,29.3333333333
2.0,22.7083333333
4.5,22.8947368421
